MODELO;MATERIAL;COLOR;ITEM;;CJS;PRECIO VENTA;UNITARIO;33;34;35;36;37;38;39;40;41;42;PARES;TOTAL;ESTADO;VENDEDOR
5094.357;CAMURCA FL/CACHAREL SOFT;AZUL;CBMC/MC;;1;;;;2;3;4;2;1;;;;;12;0;0;
5094.357;CAMURCA FL/CACHAREL SOFT;MARINO;CBMC/MC;;1;;;;2;3;4;2;1;;;;;12;0;0;
5094.357;CAMURCA FL/CACHAREL SOFT;NEGRO 01;CBMC/MC;;1;;;;2;3;4;2;1;;;;;12;0;0;
5196.323;CAMURCA FLEX/CAMURCA FLEX;NEGRO 01;CBMC/MC;;1;;;;2;3;4;2;1;;;;;12;0;0;
5196.328;NAPA SARDENHA NEO/VERNIZ FRESH NEO;BLANCO/MARINO/ROJO;CBMC/MC;;1;;;1;3;3;2;2;1;;;;;12;0;0;
5196.328;NAPA SARDENHA NEO/VERNIZ FRESH NEO;BLANCO/MARINO/ROJO;CBMC/MC;;1;;;;2;3;4;2;1;;;;;12;0;0;
